TXTDATE,INTDATE,UNEMPOYMENT,COUNTRY
31990,19870108,6.08468769,US
32021,19870109,6.023339908,US
32051,19870110,6.093291374,US
32082,19870111,5.962260125,US
32112,19870112,5.826893148,US
32143,19880101,5.836935212,US
32174,19880102,5.812796467,US
32203,19880103,5.762824115,US
32234,19880104,5.566785602,US
32264,19880105,5.706877594,US
32295,19880106,5.455779523,US
32325,19880107,5.495071351,US
32356,19880108,5.622901219,US
32387,19880109,5.51459655,US
32417,19880110,5.448250094,US
32448,19880111,5.463876433,US
32478,19880112,5.40509309,US
32509,19890101,5.493214088,US
32540,19890102,5.21623921,US
32568,19890103,5.112909019,US
32599,19890104,5.335810579,US
32629,19890105,5.278849217,US
32660,19890106,5.381551025,US
32690,19890107,5.329625951,US
32721,19890108,5.262536838,US
32752,19890109,5.396381482,US
32782,19890110,5.393732261,US
32813,19890111,5.508138951,US
32843,19890112,5.45268464,US
32874,19900101,5.429656135,US
32905,19900102,5.420168134,US
32933,19900103,5.331802622,US
32964,19900104,5.54038136,US
32994,19900105,5.462587812,US
33025,19900106,5.339956385,US
33055,19900107,5.572851278,US
33086,19900108,5.725845421,US
33117,19900109,5.902470037,US
33147,19900110,5.923677081,US
33178,19900111,6.242639202,US
33208,19900112,6.39540178,US
33239,19910101,6.446175119,US
33270,19910102,6.730957255,US
33298,19910103,6.923722016,US
33329,19910104,6.824148772,US
33359,19910105,7.032886765,US
33390,19910106,6.95872242,US
33420,19910107,6.874236398,US
33451,19910108,6.951693514,US
33482,19910109,6.960705893,US
33512,19910110,7.079051753,US
33543,19910111,7.141529686,US
33573,19910112,7.373605443,US
33604,19920101,7.370900852,US
33635,19920102,7.609635227,US
33664,19920103,7.550595019,US
33695,19920104,7.449596099,US
33725,19920105,7.683214832,US
33756,19920106,7.880751299,US
33786,19920107,7.737352502,US
33817,19920108,7.75521,US
33848,19920109,7.742250223,US
33878,19920110,7.492269848,US
33909,19920111,7.568204244,US
33939,19920112,7.540016661,US
33970,19930101,7.322029881,US
34001,19930102,7.280181403,US
34029,19930103,7.151726837,US
34060,19930104,7.199131468,US
34090,19930105,7.1915175,US
34121,19930106,7.150905933,US
34151,19930107,7.010170716,US
34182,19930108,6.900272569,US
34213,19930109,6.839497831,US
34243,19930110,6.966875051,US
34274,19930111,6.687105871,US
34304,19930112,6.583475067,US
34335,19940101,6.698348876,US
34366,19940102,6.634676339,US
34394,19940103,6.604241525,US
34425,19940104,6.464216602,US
34455,19940105,6.154508543,US
34486,19940106,6.135900972,US
34516,19940107,6.127878488,US
34547,19940108,6.121678087,US
34578,19940109,5.938713522,US
34608,19940110,5.860439976,US
34639,19940111,5.637677141,US
34669,19940112,5.51023453,US
34700,19950101,5.621887109,US
34731,19950102,5.450095712,US
34759,19950103,5.492493626,US
34790,19950104,5.837333735,US
34820,19950105,5.729449426,US
34851,19950106,5.659978365,US
34881,19950107,5.739654031,US
34912,19950108,5.733403441,US
34943,19950109,5.683943779,US
34973,19950110,5.594045903,US
35004,19950111,5.647473744,US
35034,19950112,5.625998782,US
35065,19960101,5.712554984,US
35096,19960102,5.540711683,US
35125,19960103,5.59524244,US
35156,19960104,5.615077636,US
35186,19960105,5.649282434,US
35217,19960106,5.336789752,US
35247,19960107,5.51835801,US
35278,19960108,5.20441857,US
35309,19960109,5.259352451,US
35339,19960110,5.267957611,US
35370,19960111,5.407058369,US
35400,19960112,5.345530959,US
35431,19970101,5.363542935,US
35462,19970102,5.300455175,US
35490,19970103,5.24916096,US
35521,19970104,5.114705514,US
35551,19970105,4.980950224,US
35582,19970106,5.028087836,US
35612,19970107,4.902276155,US
35643,19970108,4.876915151,US
35674,19970109,4.925535932,US
35704,19970110,4.765199449,US
35735,19970111,4.642349463,US
35765,19970112,4.729829797,US
35796,19980101,4.735310325,US
35827,19980102,4.661806,US
35855,19980103,4.782571895,US
35886,19980104,4.383161421,US
35916,19980105,4.471496443,US
35947,19980106,4.572411738,US
35977,19980107,4.544815206,US
36008,19980108,4.529198443,US
36039,19980109,4.599541867,US
36069,19980110,4.558047517,US
36100,19980111,4.406599889,US
36130,19980112,4.348846045,US
36161,19990101,4.340662268,US
36192,19990102,4.420221719,US
36220,19990103,4.263085144,US
36251,19990104,4.365174713,US
36281,19990105,4.225466971,US
36312,19990106,4.285224359,US
36342,19990107,4.302184164,US
36373,19990108,4.203445151,US
36404,19990109,4.264342755,US
36434,19990110,4.171004562,US
36465,19990111,4.116437233,US
36495,19990112,4.084842029,US
36526,20000101,4.054452496,US
36557,20000102,4.107452174,US
36586,20000103,4.101383943,US
36617,20000104,3.898313112,US
36647,20000105,4.08027288,US
36678,20000106,3.982183553,US
36708,20000107,4.021927049,US
36739,20000108,4.140334446,US
36770,20000109,3.956940834,US
36800,20000110,3.932279686,US
36831,20000111,3.998909897,US
36861,20000112,3.99275031,US
36892,20010101,4.242576593,US
36923,20010102,4.262571476,US
36951,20010103,4.371051425,US
36982,20010104,4.474828693,US
37012,20010105,4.428656353,US
37043,20010106,4.574167463,US
37073,20010107,4.575002647,US
37104,20010108,4.983218288,US
37135,20010109,5.008785974,US
37165,20010110,5.404801585,US
37196,20010111,5.604618528,US
37226,20010112,5.721592147,US
37257,20020101,5.797926994,US
37288,20020102,5.742202097,US
37316,20020103,5.885630068,US
37347,20020104,6.015933489,US
37377,20020105,5.842148951,US
37408,20020106,5.864235565,US
37438,20020107,5.848040584,US
37469,20020108,5.818678562,US
37500,20020109,5.699463329,US
37530,20020110,5.772121849,US
37561,20020111,5.989506745,US
37591,20020112,6.000136254,US
37622,20030101,5.929891049,US
37653,20030102,5.957816399,US
37681,20030103,5.982122886,US
37712,20030104,6.142185157,US
37742,20030105,6.164031102,US
37773,20030106,6.377142106,US
37803,20030107,6.200813448,US
37834,20030108,6.14745782,US
37865,20030109,6.14884717,US
37895,20030110,6.049784324,US
37926,20030111,5.957360472,US
37956,20030112,5.76122802,US
37987,20040101,5.799780895,US
38018,20040102,5.665414652,US
38047,20040103,5.856539621,US
38078,20040104,5.657424872,US
38108,20040105,5.640268209,US
38139,20040106,5.6594666,US
38169,20040107,5.567028824,US
38200,20040108,5.455800002,US
38231,20040109,5.443115114,US
38261,20040110,5.519111453,US
38292,20040111,5.465606343,US
38322,20040112,5.465113543,US
38353,20050101,5.308142226,US
38384,20050102,5.432808102,US
38412,20050103,5.268015804,US
38443,20050104,5.244750198,US
38473,20050105,5.19091834,US
38504,20050106,5.082875178,US
38534,20050107,5.015115041,US
38565,20050108,4.947522259,US
38596,20050109,5.11238686,US
38626,20050110,4.993562588,US
38657,20050111,5.143873313,US
38687,20050112,4.953341013,US
38718,20060101,4.74752888,US
38749,20060102,4.86738239,US
38777,20060103,4.760808738,US
38808,20060104,4.838173282,US
38838,20060105,4.719004472,US
38869,20060106,4.678505981,US
38899,20060107,4.776620161,US
38930,20060108,4.689045697,US
38961,20060109,4.604889544,US
38991,20060110,4.462361673,US
39022,20060111,4.588569725,US
39052,20060112,4.559608534,US
39083,20070101,4.657091397,US
39114,20070102,4.610800013,US
39142,20070103,4.463698192,US
39173,20070104,4.604233638,US
39203,20070105,4.513289743,US
39234,20070106,4.575338163,US
39264,20070107,4.644593618,US
39295,20070108,4.662986723,US
39326,20070109,4.791958866,US
39356,20070110,4.775027265,US
39387,20070111,4.79320502,US
39417,20070112,5.077598673,US
39448,20080101,4.984248676,US
39479,20080102,4.929050192,US
39508,20080103,5.123696679,US
39539,20080104,5.089157955,US
39569,20080105,5.527863392,US
39600,20080106,5.622329569,US
39630,20080107,5.855332491,US
39661,20080108,6.189633673,US
39692,20080109,6.282011645,US
39722,20080110,6.590459122,US
39753,20080111,6.907252592,US
39783,20080112,7.441309274,US
39814,20090101,7.931425859,US
39845,20090102,8.406356252,US
39873,20090103,8.828318226,US
39904,20090104,9.089365455,US
39934,20090105,9.46785028,US
39965,20090106,9.607277214,US
39995,20090107,9.63650669,US
40026,20090108,9.823432741,US
40057,20090109,10.00236112,US
40087,20090110,10.15080616,US
40118,20090111,9.998224961,US
40148,20090112,10.0078612,US
40179,20100101,9.919178112,US
40210,20100102,9.912889824,US
40238,20100103,10.00285284,US
40269,20100104,10.03976733,US
40299,20100105,9.789688188,US
40330,20100106,9.590071172,US
40360,20100107,9.623551825,US
40391,20100108,9.720332865,US
40422,20100109,9.692106659,US
40452,20100110,9.65028211,US
40483,20100111,9.842336954,US
40513,20100112,9.488759677,US
40544,20110101,9.246387083,US
40575,20110102,9.145125271,US
40603,20110103,9.065630182,US
40634,20110104,9.192470042,US
40664,20110105,9.151396744,US
40695,20110106,9.24701238,US
40725,20110107,9.173704422,US
40756,20110108,9.193225554,US
40787,20110109,9.198326967,US
40817,20110110,8.996367583,US
40848,20110111,8.685875348,US
40878,20110112,8.625210072,US
40909,20120101,8.364386449,US
40940,20120102,8.372732288,US
40969,20120103,8.292500181,US
41000,20120104,8.235979344,US
41030,20120105,8.268782275,US
41061,20120106,8.275494241,US
41091,20120107,8.333268775,US
41122,20120108,8.233142962,US
41153,20120109,7.934727152,US
41183,20120110,7.99015649,US
41214,20120111,7.830876607,US
41244,20120112,7.992559827,US
41275,20130101,8.027095306,US
41306,20130102,7.770054804,US
41334,20130103,7.566075339,US
41365,20130104,7.624195113,US
41395,20130105,7.671498647,US
41426,20130106,7.696984568,US
41456,20130107,7.520148368,US
41487,20130108,7.42412903,US
41518,20130109,7.379557577,US
41548,20130110,7.396510339,US
41579,20130111,7.087275341,US
41609,20130112,6.804309391,US
41640,20140101,6.645440783,US
41671,20140102,6.792928131,US
41699,20140103,6.760177688,US
41730,20140104,6.322921501,US
41760,20140105,6.378099564,US
41791,20140106,6.176997975,US
41821,20140107,6.299017285,US
41852,20140108,6.194692749,US
41883,20140109,6.05482799,US
41913,20140110,5.88122397,US
41944,20140111,5.896046139,US
41974,20140112,5.684958563,US
42005,20150101,5.726181292,US
42036,20150102,5.56878173,US
42064,20150103,5.543480787,US
42095,20150104,5.526734378,US
42125,20150105,5.665230685,US
42156,20150106,5.342411299,US
42186,20150107,5.325964973,US
42217,20150108,5.141337147,US
42248,20150109,5.111623444,US
42278,20150110,5.184644832,US
42309,20150111,5.194585332,US
42339,20150112,5.119471792,US
42370,20160101,4.931265923,US
42401,20160102,5.000130838,US
42430,20160103,5.081943935,US
42461,20160104,5.107674514,US
42491,20160105,4.884019001,US
42522,20160106,4.944523414,US
42552,20160107,4.857227147,US
42583,20160108,4.931236052,US
42614,20160109,5.06567393,US
42644,20160110,4.970792377,US
42675,20160111,4.781741824,US
42705,20160112,4.769313074,US
42736,20170101,4.783621147,US
42767,20170102,4.697387768,US
42795,20170103,4.468691182,US
42826,20170104,4.455698004,US
42856,20170105,4.406868035,US
42887,20170106,4.347041364,US
42917,20170107,4.364425747,US
42948,20170108,4.461000241,US
42979,20170109,4.316256842,US
43009,20170110,4.154970691,US
43040,20170111,4.262003415,US
43070,20170112,4.178406091,US
43101,20180101,4.141185942,US
43132,20180102,4.194502895,US
43160,20180103,4.065811587,US
43191,20180104,4.063779758,US
43221,20180105,3.845931069,US
43252,20180106,4.018364003,US
43282,20180107,3.815257545,US
43313,20180108,3.798382441,US
43344,20180109,3.750499406,US
43374,20180110,3.812130212,US
43405,20180111,3.788264591,US
43435,20180112,3.986998624,US
43466,20190101,4.016291149,US
43497,20190102,3.895061701,US
43525,20190103,3.8417508,US
43556,20190104,3.656173492,US
43586,20190105,3.676119436,US
43617,20190106,3.667302734,US
43647,20190107,3.733626636,US
43678,20190108,3.679560566,US
43709,20190109,3.579105296,US
43739,20190110,3.628545655,US
43770,20190111,3.626134876,US
43800,20190112,3.627999346,US
43831,20200101,3.680620747,US
43862,20200102,3.620664397,US
43891,20200103,4.440710026,US
43922,20200104,14.82182883,US
