date,open,high,low,close,ticker
30288,$138.69,$140.57,$137.74,$138.69,SPX
30287,$138.82,$140.56,$137.64,$138.82,SPX
30286,$138.72,$141.24,$137.31,$138.72,SPX
30285,$138.54,$138.98,$133.45,$138.54,SPX
30284,$134.20,$135.99,$133.04,$134.20,SPX
30281,$134.88,$135.63,$133.52,$134.88,SPX
30279,$133.88,$134.87,$132.15,$133.88,SPX
30278,$132.93,$135.12,$132.09,$132.93,SPX
30277,$134.22,$137.49,$133.74,$134.22,SPX
30274,$137.02,$139.77,$136.33,$137.02,SPX
30273,$138.34,$139.60,$136.68,$138.34,SPX
30272,$137.93,$138.97,$135.66,$137.93,SPX
30271,$135.42,$137.28,$132.98,$135.42,SPX
30270,$137.03,$138.90,$135.79,$137.03,SPX
30267,$139.53,$142.74,$138.76,$139.53,SPX
30266,$141.76,$142.38,$138.78,$141.76,SPX
30265,$141.16,$144.16,$141.61,$141.16,SPX
30264,$143.02,$144.03,$139.86,$143.02,SPX
30263,$140.44,$142.02,$138.33,$140.44,SPX
30260,$142.16,$143.59,$140.25,$142.16,SPX
30259,$141.85,$143.71,$143.11,$141.85,SPX
30258,$142.87,$143.51,$137.28,$142.87,SPX
30257,$137.49,$139.31,$135.72,$137.49,SPX
30256,$135.47,$136.06,$132.54,$135.47,SPX
30253,$133.71,$134.82,$131.67,$133.71,SPX
30252,$133.59,$136.20,$132.90,$133.59,SPX
30251,$135.28,$136.95,$133.56,$135.28,SPX
30250,$134.48,$135.29,$130.74,$134.48,SPX
30249,$133.32,$136.97,$132.54,$133.32,SPX
30246,$138.83,$141.40,$137.48,$138.83,SPX
30245,$139.06,$144.38,$136.76,$139.06,SPX
30244,$139.23,$139.68,$135.47,$139.23,SPX
30243,$136.58,$138.81,$134.93,$136.58,SPX
30242,$136.73,$137.47,$133.23,$136.73,SPX
30239,$133.57,$135.30,$132.05,$133.57,SPX
30238,$134.57,$138.01,$133.86,$134.57,SPX
30237,$136.71,$137.14,$134.25,$136.71,SPX
30236,$134.44,$135.81,$133.64,$134.44,SPX
30235,$134.47,$135.48,$132.63,$134.47,SPX
30232,$131.05,$132.06,$127.22,$131.05,SPX
30231,$128.81,$139.27,$126.80,$128.81,SPX
30230,$125.97,$126.33,$121.82,$125.97,SPX
30229,$121.98,$123.42,$121.00,$121.98,SPX
30228,$121.51,$122.22,$119.91,$121.51,SPX
30225,$121.97,$122.46,$119.13,$121.97,SPX
30224,$120.42,$121.90,$119.45,$120.42,SPX
30223,$121.63,$123.47,$120.71,$121.63,SPX
30222,$123.24,$124.91,$122.58,$123.24,SPX
30221,$123.62,$124.20,$122.08,$123.62,SPX
30218,$123.32,$124.44,$122.36,$123.32,SPX
30217,$123.81,$124.92,$122.21,$123.81,SPX
30216,$123.99,$127.31,$123.56,$123.99,SPX
30215,$124.88,$125.27,$122.16,$124.88,SPX
30214,$122.51,$123.25,$120.81,$122.51,SPX
30211,$122.55,$124.27,$121.82,$122.55,SPX
30210,$123.77,$125.59,$122.89,$123.77,SPX
30209,$124.29,$124.69,$122.06,$124.29,SPX
30208,$123.10,$124.50,$121.80,$123.10,SPX
30207,$122.24,$122.66,$119.60,$122.24,SPX
30204,$120.97,$122.17,$119.58,$120.97,SPX
30203,$121.97,$123.85,$121.00,$121.97,SPX
30202,$122.20,$123.65,$120.45,$122.20,SPX
30201,$121.37,$123.30,$120.39,$121.37,SPX
30197,$122.68,$124.83,$121.01,$122.68,SPX
30196,$120.28,$120.90,$117.16,$120.28,SPX
