DATE,LMUNRRTTDEM156S,country
35462,11.2,DE
35490,11.2,DE
35521,11.2,DE
35551,11.4,DE
35582,11.5,DE
35612,11.5,DE
35643,11.6,DE
35674,11.7,DE
35704,11.8,DE
35735,11.7,DE
35765,11.7,DE
35796,11.7,DE
35827,11.6,DE
35855,11.5,DE
35886,11.3,DE
35916,11.2,DE
35947,11,DE
35977,10.9,DE
36008,10.8,DE
36039,10.7,DE
36069,10.6,DE
36100,10.6,DE
36130,10.8,DE
36161,10.7,DE
36192,10.7,DE
36220,10.6,DE
36251,10.6,DE
36281,10.5,DE
36312,10.5,DE
36342,10.5,DE
36373,10.5,DE
36404,10.5,DE
36434,10.5,DE
36465,10.4,DE
36495,10.3,DE
36526,10.2,DE
36557,10.1,DE
36586,10.1,DE
36617,9.6,DE
36647,9.5,DE
36678,9.5,DE
36708,9.5,DE
36739,9.5,DE
36770,9.4,DE
36800,9.4,DE
36831,9.3,DE
36861,9.3,DE
36892,9.3,DE
36923,9.3,DE
36951,9.3,DE
36982,9.3,DE
37012,9.2,DE
37043,9.3,DE
37073,9.3,DE
37104,9.3,DE
37135,9.4,DE
37165,9.5,DE
37196,9.6,DE
37226,9.6,DE
37257,9.6,DE
37288,9.6,DE
37316,9.6,DE
37347,9.5,DE
37377,9.7,DE
37408,9.8,DE
37438,9.8,DE
37469,9.8,DE
37500,9.9,DE
37530,10,DE
37561,10.1,DE
37591,10.2,DE
37622,10.4,DE
37653,10.5,DE
37681,10.5,DE
37712,10.6,DE
37742,10.6,DE
37773,10.6,DE
37803,10.6,DE
37834,10.5,DE
37865,10.5,DE
37895,10.5,DE
37926,10.5,DE
37956,10.5,DE
37987,10.3,DE
38018,10.3,DE
38047,10.4,DE
38078,10.4,DE
38108,10.5,DE
38139,10.5,DE
38169,10.6,DE
38200,10.6,DE
38231,10.7,DE
38261,10.7,DE
38292,10.8,DE
38322,10.9,DE
38353,11.6,DE
38384,11.9,DE
38412,12.1,DE
38443,11.9,DE
38473,11.9,DE
38504,11.8,DE
38534,11.7,DE
38565,11.7,DE
38596,11.6,DE
38626,11.5,DE
38657,11.5,DE
38687,11.3,DE
38718,11.4,DE
38749,11.4,DE
38777,11.4,DE
38808,11.3,DE
38838,10.9,DE
38869,10.8,DE
38899,10.6,DE
38930,10.5,DE
38961,10.5,DE
38991,10.3,DE
39022,10.1,DE
39052,9.8,DE
39083,9.6,DE
39114,9.5,DE
39142,9.3,DE
39173,9.2,DE
39203,9.1,DE
39234,9,DE
39264,8.9,DE
39295,8.8,DE
39326,8.7,DE
39356,8.6,DE
39387,8.5,DE
39417,8.4,DE
39448,8.2,DE
39479,8,DE
39508,7.9,DE
39539,7.9,DE
39569,7.9,DE
39600,7.7,DE
39630,7.7,DE
39661,7.6,DE
39692,7.6,DE
39722,7.6,DE
39753,7.6,DE
39783,7.7,DE
39814,7.8,DE
39845,7.9,DE
39873,8.1,DE
39904,8.3,DE
39934,8.2,DE
39965,8.3,DE
39995,8.3,DE
40026,8.2,DE
40057,8.2,DE
40087,8.1,DE
40118,8.1,DE
40148,8.1,DE
40179,8,DE
40210,8,DE
40238,8,DE
40269,7.8,DE
40299,7.7,DE
40330,7.7,DE
40360,7.6,DE
40391,7.6,DE
40422,7.5,DE
40452,7.4,DE
40483,7.4,DE
40513,7.4,DE
40544,7.4,DE
40575,7.3,DE
40603,7.2,DE
40634,7.1,DE
40664,7.1,DE
40695,7,DE
40725,7,DE
40756,7,DE
40787,6.9,DE
40817,6.9,DE
40848,6.8,DE
40878,6.8,DE
40909,6.8,DE
40940,6.8,DE
40969,6.8,DE
41000,6.9,DE
41030,6.8,DE
41061,6.8,DE
41091,6.8,DE
41122,6.8,DE
41153,6.8,DE
41183,6.8,DE
41214,6.8,DE
41244,6.9,DE
41275,6.9,DE
41306,6.9,DE
41334,6.9,DE
41365,7,DE
41395,6.9,DE
41426,6.8,DE
41456,6.8,DE
41487,6.8,DE
41518,6.8,DE
41548,6.8,DE
41579,6.9,DE
41609,6.8,DE
41640,6.8,DE
41671,6.8,DE
41699,6.8,DE
41730,6.7,DE
41760,6.7,DE
41791,6.7,DE
41821,6.7,DE
41852,6.7,DE
41883,6.7,DE
41913,6.6,DE
41944,6.6,DE
41974,6.5,DE
42005,6.5,DE
42036,6.5,DE
42064,6.5,DE
42095,6.5,DE
42125,6.4,DE
42156,6.4,DE
42186,6.4,DE
42217,6.4,DE
42248,6.3,DE
42278,6.3,DE
42309,6.3,DE
42339,6.3,DE
42370,6.2,DE
42401,6.2,DE
42430,6.2,DE
42461,6.2,DE
42491,6.1,DE
42522,6.1,DE
42552,6.1,DE
42583,6,DE
42614,6,DE
42644,6,DE
42675,6,DE
42705,5.9,DE
42736,5.9,DE
42767,5.9,DE
42795,5.8,DE
42826,5.8,DE
42856,5.7,DE
42887,5.7,DE
42917,5.7,DE
42948,5.7,DE
42979,5.6,DE
43009,5.6,DE
