txtdate,intdate,recession_indicator,country,spy_open,spy_high,spy_low,spy_close,spx_open,spx_high,spx_low,spx_close,dji_open,dji_high,dji_low,dji_close,cpi,gdp,inflation,unemployment
25647,19700320,t,US,,,,,,,,,,,,,16.15917846,,5.83825534,
25648,19700321,t,US,,,,,,,,,,,,,16.15917846,,5.83825534,
25649,19700322,t,US,,,,,,,,,,,,,16.15917846,,5.83825534,
25650,19700323,t,US,,,,,,,,,,,,,16.15917846,,5.83825534,
25651,19700324,t,US,,,,,,,,,,,,,16.15917846,,5.83825534,
25652,19700325,t,US,,,,,,,,,,,,,16.15917846,,5.83825534,
25653,19700326,t,US,,,,,,,,,,,,,16.15917846,,5.83825534,
25654,19700327,t,US,,,,,,,,,,,,,16.15917846,,5.83825534,
25655,19700328,t,US,,,,,,,,,,,,,16.15917846,,5.83825534,
25656,19700329,t,US,,,,,,,,,,,,,16.15917846,,5.83825534,
25657,19700330,t,US,,,,,,,,,,,,,16.15917846,,5.83825534,
25658,19700331,t,US,,,,,,,,,,,,,16.15917846,,5.83825534,
25659,19700401,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25660,19700402,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25661,19700403,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25662,19700404,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25663,19700405,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25664,19700406,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25665,19700407,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25666,19700408,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25667,19700409,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25668,19700410,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25669,19700411,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25670,19700412,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25671,19700413,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25672,19700414,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25673,19700415,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25674,19700416,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25675,19700417,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25676,19700418,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25677,19700419,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25678,19700420,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25679,19700421,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25680,19700422,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25681,19700423,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25682,19700424,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25683,19700425,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25684,19700426,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25685,19700427,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25686,19700428,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25687,19700429,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25688,19700430,t,US,,,,,,,,,,,,,16.24356059,1067.375,5.83825534,
25689,19700501,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25690,19700502,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25691,19700503,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25692,19700504,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25693,19700505,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25694,19700506,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25695,19700507,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25696,19700508,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25697,19700509,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25698,19700510,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25699,19700511,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25700,19700512,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25701,19700513,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25702,19700514,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25703,19700515,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25704,19700516,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25705,19700517,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25706,19700518,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25707,19700519,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25708,19700520,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25709,19700521,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25710,19700522,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25711,19700523,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25712,19700524,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25713,19700525,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25714,19700526,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25715,19700527,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25716,19700528,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25717,19700529,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25718,19700530,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25719,19700531,t,US,,,,,,,,,,,,,16.28575165,,5.83825534,
25720,19700601,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25721,19700602,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25722,19700603,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25723,19700604,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25724,19700605,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25725,19700606,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25726,19700607,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25727,19700608,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25728,19700609,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25729,19700610,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25730,19700611,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25731,19700612,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25732,19700613,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25733,19700614,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25734,19700615,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25735,19700616,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25736,19700617,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25737,19700618,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25738,19700619,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25739,19700620,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25740,19700621,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25741,19700622,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25742,19700623,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25743,19700624,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25744,19700625,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25745,19700626,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
